-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.021,  0.148
-183.800, 80.199, 0.020,  0.181
-183.800, 80.198, 0.021,  0.214
-183.800, 80.198, 0.025,  0.247
-183.800, 80.197, 0.045,  0.280
-183.799, 80.193, 0.117,  0.313
-183.797, 80.186, 0.224,  0.346
-183.792, 80.173, 0.372,  0.379
-183.786, 80.158, 0.463,  0.412
-183.778, 80.140, 0.538,  0.445
-183.766, 80.119, 0.627,  0.478
-183.751, 80.096, 0.718,  0.511
-183.733, 80.069, 0.869,  0.544
-183.714, 80.036, 1.034,  0.577
-183.693, 79.998, 1.203,  0.610
-183.671, 79.955, 1.364,  0.643
-183.648, 79.907, 1.522,  0.676
-183.624, 79.855, 1.673,  0.709
-183.600, 79.798, 1.807,  0.742
-183.576, 79.738, 1.912,  0.775
-183.552, 79.675, 1.972,  0.808
-183.528, 79.612, 1.999,  0.841
-183.505, 79.549, 2.002,  0.874
-183.481, 79.487, 1.987,  0.907
-183.458, 79.426, 1.960,  0.940
-183.435, 79.366, 1.923,  0.973
-183.413, 79.307, 1.880,  1.006
-183.390, 79.250, 1.832,  1.039
-183.368, 79.195, 1.781,  1.072
-183.347, 79.141, 1.728,  1.105
-183.326, 79.090, 1.648,  1.138
-183.305, 79.041, 1.585,  1.171
-183.285, 78.994, 1.531,  1.204
-183.265, 78.948, 1.490,  1.237
-183.245, 78.902, 1.466,  1.270
-183.225, 78.857, 1.464,  1.303
-183.204, 78.812, 1.485,  1.336
-183.184, 78.764, 1.529,  1.369
-183.162, 78.716, 1.584,  1.402
-183.141, 78.665, 1.641,  1.435
-183.119, 78.612, 1.707,  1.468
-183.096, 78.557, 1.779,  1.501
-183.073, 78.499, 1.853,  1.534
-183.050, 78.440, 1.919,  1.567
-183.027, 78.378, 1.955,  1.600
-183.004, 78.317, 1.967,  1.633
-182.982, 78.255, 1.958,  1.666
-182.960, 78.195, 1.936,  1.699
-182.939, 78.135, 1.903,  1.732
